Instance,Income
111994,33904.12095
111995,11117.52294
111996,22717.75327
111997,109964.8101
111998,28336.24092
111999,93928.29337
112000,102127.6937
112001,64106.68938
112002,34771.45522
112003,110574.4377
112004,10062.65651
112005,176306.0247
112006,54591.36155
112007,107345.0737
112008,249871.013
112009,76691.7293
112010,41334.232
112011,26905.76624
112012,20361.66956
112013,13766.50028
112014,127511.5841
112015,49428.25668
112016,48279.44853
112017,25343.69077
112018,135128.1413
112019,45735.72901
112020,35200.20011
112021,26156.67959
112022,82553.61449
112023,55800.52877
112024,24931.57491
112025,73077.07668
112026,36230.04016
112027,58724.63295
112028,37881.6479
112029,40394.34108
112030,186981.9766
112031,188397.2849
112032,286290.2605
112033,124613.8778
112034,195284.7774
112035,110344.5952
112036,177165.3562
112037,139577.2156
112038,163663.8891
112039,52343.98096
112040,73542.23328
112041,73612.86463
112042,38598.5469
112043,52035.87098
112044,44184.31251
112045,15205.27752
112046,253745.0187
112047,33171.23542
112048,24013.73943
112049,85961.37774
112050,43747.17546
112051,69384.82822
112052,115293.5244
112053,177659.456
112054,84073.90501
112055,26171.41267
112056,97766.5483
112057,26718.14163
112058,25930.76941
112059,34661.98871
112060,298920.8666
112061,148701.7828
112062,198805.9989
112063,62504.18941
112064,24811.55618
112065,57518.61829
112066,5288.231787
112067,105840.7151
112068,47375.05171
112069,249001.3404
112070,293065.634
112071,41718.1283
112072,70223.71118
112073,38665.19196
112074,24730.31083
112075,22868.91476
112076,147737.6706
112077,1184025.215
112078,6492.6772
112079,160863.752
112080,84509.53937
112081,872823.0565
112082,37186.68946
112083,78140.69614
112084,15733.57327
112085,37970.89905
112086,33730.58357
112087,151155.3108
112088,128455.6575
112089,49310.70526
112090,183125.4267
112091,40352.75804
112092,32322.95911
112093,80290.53353
112094,32713.7898
112095,47236.28284
112096,114211.6385
112097,18017.65284
112098,33066.30087
112099,34865.26149
112100,40233.05525
112101,174659.404
112102,35207.89141
112103,148665.3513
112104,67891.38444
112105,48479.21303
112106,80446.38149
112107,111567.0043
112108,54372.2897
112109,27688.64059
112110,44488.94921
112111,30722.46299
112112,102400.4125
112113,71888.65601
112114,71013.97561
112115,16674.86485
112116,32522.04868
112117,127959.921
112118,25884.61271
112119,26341.06402
112120,474439.6489
112121,106278.657
112122,468435.1694
112123,208196.5371
112124,29384.11298
112125,212280.747
112126,166196.0555
112127,19483.51714
112128,40745.34655
112129,111109.7145
112130,74483.80063
112131,17519.83808
112132,82081.54396
112133,241624.0785
112134,15276.40036
112135,16351.61117
112136,50559.10655
112137,11395.609
112138,36140.90316
112139,56129.18841
112140,57459.78894
112141,36108.02119
112142,53973.09716
112143,167281.2498
112144,29763.78822
112145,29755.64306
112146,36026.23455
112147,221185.1597
112148,47969.33834
112149,67998.26233
112150,7863.739469
112151,273384.2816
112152,87894.22114
112153,53928.62728
112154,27107.31785
112155,100588.9348
112156,70352.10967
112157,78949.76422
112158,34429.84474
112159,266332.7966
112160,46592.73271
112161,132663.2931
112162,77417.95762
112163,13955.76786
112164,20075.43415
112165,137195.3608
112166,44768.24591
112167,19451.16007
112168,50867.9367
112169,273229.5694
112170,219574.5732
112171,42070.53034
112172,19554.82657
112173,118383.0406
112174,39168.30892
112175,36956.64384
112176,31228.69846
112177,95063.57515
112178,19315.32603
112179,29186.11691
112180,35752.1153
112181,7376.984661
112182,256029.9681
112183,92129.39643
112184,25297.57001
112185,297581.396
112186,8583.208326
112187,104348.0251
112188,121707.8563
112189,43893.06303
112190,40195.05103
112191,80970.27011
112192,223746.3414
112193,32273.11636
112194,140473.6617
112195,36559.74636
112196,25744.79807
112197,231432.1928
112198,30723.0498
112199,45729.34926
112200,56826.68769
112201,257266.4815
112202,118906.991
112203,36409.15521
112204,39405.14969
112205,6941.622259
112206,98434.31932
112207,284360.2931
112208,64668.7707
112209,339301.9331
112210,45399.39508
112211,267493.3724
112212,51570.00457
112213,21202.64774
112214,169192.447
112215,81037.76447
112216,121711.6545
112217,36600.42156
112218,42731.8254
112219,370608.7074
