Instance,Income
111994,33508.91318
111995,11131.68112
111996,23929.5499
111997,105844.8533
111998,29026.48936
111999,94711.37506
112000,99397.20371
112001,55860.07303
112002,34766.73347
112003,111900.0812
112004,10111.05654
112005,200171.5751
112006,65032.54037
112007,107639.1584
112008,240341.6799
112009,72853.47587
112010,39576.9771
112011,26782.49123
112012,19987.4523
112013,14192.02282
112014,122760.6312
112015,49106.69336
112016,48962.04257
112017,26520.32625
112018,137982.1797
112019,46460.89762
112020,35605.34419
112021,26917.11119
112022,84308.82911
112023,56937.21726
112024,25633.95242
112025,74187.79914
112026,35792.17289
112027,58088.56458
112028,37984.31061
112029,45015.33751
112030,183589.6322
112031,192938.91
112032,281571.5597
112033,134076.275
112034,193944.2245
112035,106906.2542
112036,179728.3493
112037,142506.8207
112038,161451.2542
112039,49301.70268
112040,73726.83406
112041,64219.76675
112042,38258.34051
112043,51474.51895
112044,44385.87253
112045,14836.55177
112046,246184.0522
112047,31467.5636
112048,23884.93587
112049,87049.02538
112050,44210.84667
112051,70543.7345
112052,115775.8433
112053,178114.9608
112054,88541.34553
112055,26268.38177
112056,98076.77194
112057,24266.67043
112058,24149.36568
112059,36334.56845
112060,333942.2149
112061,139268.7387
112062,206129.729
112063,64167.98061
112064,23457.49481
112065,55708.17562
112066,5212.834267
112067,104306.5715
112068,51253.64714
112069,247712.1662
112070,296463.8259
112071,42687.8269
112072,69332.90536
112073,43516.31714
112074,24607.19775
112075,18681.16548
112076,147178.6987
112077,1203418.012
112078,6624.218543
112079,163181.749
112080,87483.60191
112081,862722.1742
112082,44439.93046
112083,79313.69114
112084,15470.83343
112085,37755.17069
112086,34812.01783
112087,132162.2922
112088,137413.3539
112089,50150.64204
112090,161915.6702
112091,40243.84673
112092,30822.69489
112093,78163.76707
112094,33078.69637
112095,46758.74138
112096,117091.0356
112097,17798.11935
112098,32886.52541
112099,30433.26225
112100,39465.60368
112101,159207.5871
112102,31441.93183
112103,139228.0322
112104,67709.361
112105,47738.20664
112106,79569.86977
112107,115365.0137
112108,56517.70161
112109,27489.2622
112110,45653.27381
112111,30641.68405
112112,92369.32837
112113,67501.09985
112114,70583.50387
112115,16162.4614
112116,34830.51454
112117,136265.0615
112118,25189.0235
112119,25653.42933
112120,469117.2891
112121,115330.6601
112122,462989.2839
112123,197820.5046
112124,32335.46511
112125,203892.7413
112126,161605.2506
112127,19091.03563
112128,40428.57321
112129,106923.4953
112130,69123.32656
112131,21433.82935
112132,85191.27242
112133,230534.1708
112134,14811.11064
112135,16570.84795
112136,52234.38876
112137,13006.3907
112138,36449.57081
112139,56876.96788
112140,67665.84071
112141,35663.23121
112142,48517.14487
112143,159867.3541
112144,29092.65549
112145,29235.80552
112146,34164.53672
112147,225504.0406
112148,47662.50893
112149,66658.23851
112150,7644.977572
112151,266321.1637
112152,83324.93891
112153,55372.66837
112154,27212.16815
112155,98340.46671
112156,70841.94228
112157,72481.1868
112158,42821.19658
112159,279482.0048
112160,50620.77159
112161,136772.8935
112162,77409.53499
112163,13722.49382
112164,20046.06123
112165,134673.7152
112166,46506.39033
112167,15706.98037
112168,56193.00541
112169,278426.6192
112170,217869.9493
112171,41745.31321
112172,19536.46072
112173,114368.8451
112174,38706.28527
112175,37102.94268
112176,30125.17157
112177,96156.74802
112178,19063.69347
112179,30662.89426
112180,36090.26481
112181,8567.551762
112182,256903.6457
112183,90379.43684
112184,24769.09505
112185,312222.9278
112186,8937.984242
112187,105901.9017
112188,117388.9961
112189,45271.9937
112190,40996.56382
112191,81929.28989
112192,214075.4697
112193,31422.16372
112194,146811.7812
112195,35875.31421
112196,27470.55455
112197,226414.7107
112198,30435.47072
112199,46662.36987
112200,57158.88808
112201,257335.1217
112202,118946.9547
112203,35580.97998
112204,40266.34974
112205,7008.488429
112206,97363.16706
112207,297771.7116
112208,65741.21042
112209,365733.5541
112210,45962.44308
112211,266500.7887
112212,50817.98093
112213,27193.8195
112214,165146.366
112215,101823.2941
112216,114155.1341
112217,35987.91176
112218,43030.1577
112219,375903.5722
112220,23170.77705
112221,6832.553445
112222,29708.70239
112223,47630.28247
112224,148049.6908
112225,11995.1903
112226,43127.40047
112227,55493.64312
112228,89573.03187
112229,53479.09172
112230,195158.8364
112231,15947.08238
112232,145569.58
112233,25854.19857
112234,43432.36046
112235,25247.62482
112236,99652.71656
112237,346270.725
112238,39524.17073
112239,10023.02127
112240,12946.20167
112241,18689.52615
112242,44895.06573
112243,61061.91161
112244,158716.8827
112245,89936.77647
112246,45279.5252
112247,436316.6366
112248,87821.81194
112249,14043.05603
112250,59520.07375
112251,52855.17491
112252,53738.50631
112253,29146.85351
112254,276688.5633
112255,39417.91356
112256,34194.68318
112257,34049.21945
112258,385200.3318
112259,190981.3519
112260,109057.6414
112261,267995.1405
112262,80923.74639
112263,33403.68745
112264,96103.8983
112265,11132.27827
112266,39491.55899
112267,54889.45116
112268,40438.43303
112269,386232.6704
