Instance,Income
111994,31779.02763
111995,10792.63018
111996,23516.13186
111997,106257.5554
111998,28576.12423
111999,92648.06423
112000,101592.3333
112001,54811.34872
112002,35221.75609
112003,107116.9824
112004,10318.22138
112005,197091.6614
112006,60999.27565
112007,107351.0635
112008,242589.4575
112009,73018.16034
112010,40117.44588
112011,26350.06558
112012,19542.50664
112013,14027.32406
112014,123440.559
112015,49091.47304
112016,47208.12352
112017,24511.26591
112018,132642.1863
112019,46927.64421
112020,35066.37259
112021,26242.04598
112022,86039.06493
112023,57442.59136
112024,25595.8288
112025,70576.0705
112026,41103.24266
112027,59804.55214
112028,38031.09877
112029,41189.74462
112030,188313.3331
112031,186918.5895
112032,277325.8329
112033,121136.6979
112034,201257.5574
112035,108659.2436
112036,183928.964
112037,138876.804
112038,174006.3099
112039,51885.45851
112040,73594.13041
112041,66352.56845
112042,38663.06992
112043,52560.98781
112044,44279.99118
112045,14304.51076
112046,240733.2997
112047,29771.32454
112048,23447.47464
112049,87186.59925
112050,44943.5024
112051,70497.35072
112052,113081.0519
112053,168989.6879
112054,87189.06715
112055,26345.73839
112056,95674.31793
112057,25247.86881
112058,23978.29499
112059,38210.68387
112060,339433.1734
112061,134724.4266
112062,196011.2182
112063,65288.92385
112064,23101.82216
112065,61447.70292
112066,5084.076345
112067,102812.7956
112068,49916.35555
112069,246755.3401
112070,295220.9499
112071,43790.60885
112072,69240.85472
112073,39319.31978
112074,24120.6903
112075,15230.39832
112076,142674.4023
112077,1128876.938
112078,6555.540993
112079,162836.0776
112080,87115.63328
112081,851501.935
112082,40551.9252
112083,36880.49347
112084,16943.2944
112085,38757.5732
112086,33584.84727
112087,177819.7984
112088,145343.8683
112089,46009.78564
112090,165313.9962
112091,40304.41012
112092,30784.69041
112093,79115.33028
112094,33204.4516
112095,47220.45798
112096,114352.6152
112097,17661.51256
112098,31669.14467
112099,30477.70391
112100,40972.89377
112101,159264.6077
112102,31598.75882
112103,132057.2553
112104,69911.86939
112105,48498.71248
112106,80732.9307
112107,121209.9591
112108,56376.3095
112109,27887.26772
112110,44272.82834
112111,30580.82364
112112,90548.10538
112113,73639.80949
112114,69627.44041
112115,16363.87377
112116,33700.52613
112117,137888.7529
112118,25469.08059
112119,28266.2589
112120,473165.5234
112121,107680.7986
112122,457204.3405
112123,198663.4146
112124,32795.48774
112125,196021.09
112126,164850.4318
112127,19411.76421
112128,40582.97047
112129,101788.1092
112130,70177.75514
112131,21545.89533
112132,85537.62251
112133,243198.3367
112134,14339.38662
112135,16748.74765
112136,52119.89196
112137,12337.3476
112138,38267.15412
112139,57810.89923
112140,62133.78939
112141,36016.47793
112142,50551.08571
112143,165911.9468
112144,28699.17021
112145,28805.37049
112146,35180.90098
112147,222317.7546
112148,49033.11243
112149,67751.12328
112150,8546.449055
112151,269334.897
112152,88167.87512
112153,62230.20889
112154,27404.26521
112155,96402.1078
112156,69985.70986
112157,76224.44998
112158,35208.46945
112159,276165.7886
112160,49006.90505
112161,131547.6828
112162,80194.05365
112163,13431.93882
112164,20187.68091
112165,139084.7484
112166,45275.96237
112167,16851.37668
112168,49645.75629
112169,266664.758
112170,229106.3111
112171,41035.88544
112172,19371.57301
112173,114165.4748
112174,43029.82774
112175,36847.18201
112176,29917.91158
112177,93802.04499
112178,19217.98999
112179,30892.42343
112180,36479.89774
112181,7808.800156
112182,254380.7194
112183,92264.75998
112184,24749.51336
112185,310424.0673
112186,8315.218404
112187,101737.1685
112188,120439.9626
112189,44700.98779
112190,45670.91723
112191,80086.60324
112192,209791.3365
112193,31797.92827
112194,143732.5715
112195,38348.56111
112196,27346.64579
112197,224314.1936
112198,30625.29309
112199,46960.40741
112200,56510.2324
112201,276176.2902
112202,120521.7926
112203,35913.23024
112204,39763.04416
112205,7205.803032
112206,103936.6621
112207,292136.6141
112208,62296.1127
112209,366247.6381
112210,46586.44381
112211,260192.8453
112212,51418.91578
112213,18649.36416
112214,169461.8103
112215,96480.73929
112216,109332.0884
112217,34165.90304
112218,41860.02671
112219,381319.9312
112220,23182.54757
112221,6360.541803
112222,29199.10797
112223,48523.94595
112224,145457.9789
112225,12356.57097
112226,44770.45733
112227,56879.68862
112228,89680.36498
112229,52617.17396
112230,196981.1397
112231,16159.29209
112232,146980.3661
112233,25381.42066
112234,45135.75366
112235,22654.2675
112236,99218.1509
112237,339406.7879
112238,38142.51374
112239,9958.786269
112240,12813.57287
112241,19321.1434
112242,46326.61697
112243,59534.29992
112244,155782.0548
112245,92990.1831
112246,45757.95312
112247,427041.069
112248,88250.24025
112249,14214.97634
112250,57539.89076
112251,51812.77258
112252,52678.86385
112253,25307.76553
112254,275779.5452
112255,38431.60946
112256,33804.11377
112257,34081.0466
112258,376544.8482
112259,200648.4522
112260,112714.7088
112261,277813.6192
112262,83319.92705
112263,34654.67761
112264,102225.414
112265,12561.26183
112266,37840.43615
112267,54338.63684
112268,41314.28313
112269,403191.2529
112270,26327.90956
112271,73550.3286
112272,67251.32313
112273,139287.1436
112274,5384.265838
112275,173013.0466
112276,182636.3072
112277,66327.52003
112278,34788.97626
112279,20806.16092
112280,106143.419
112281,63455.41019
112282,178843.1418
112283,98470.07944
112284,115434.6957
112285,60663.06079
112286,35160.12935
112287,34383.48153
112288,84728.73172
112289,301719.1829
112290,204772.6691
112291,26349.46534
112292,591137.0721
112293,27240.24595
112294,303797.0418
112295,28583.27249
112296,230082.8656
112297,64129.38195
112298,47225.9834
112299,41158.083
112300,12201.86701
112301,33869.49465
112302,13590.25496
112303,34014.67052
112304,154679.2234
112305,24088.66475
112306,48461.17211
112307,45545.532
112308,88271.11438
112309,49149.82616
112310,32212.77453
112311,97256.78435
112312,30921.73941
112313,111099.1714
112314,26958.65286
112315,172759.9096
112316,44956.71711
112317,27002.48141
112318,26615.65496
112319,24890.53905
112320,730760.3984
112321,62475.73235
112322,13737.50985
112323,106124.3835
112324,372432.0901
112325,210323.7118
112326,108425.6832
112327,177991.5805
112328,117955.6019
112329,113830.5772
112330,353093.1216
112331,349710.9691
112332,171186.7947
112333,289531.837
112334,196344.5136
112335,54807.92413
112336,30529.2447
112337,218233.0543
112338,290214.0312
112339,252656.1131
112340,44372.60126
112341,1082632.898
112342,16505.20124
112343,41571.79191
112344,26925.26745
112345,31667.01189
112346,68432.83178
112347,22734.27166
112348,21343.21635
112349,22508.65208
112350,97733.60625
112351,38811.82859
112352,49451.57333
112353,-550.0647688
112354,117594.0351
112355,55668.16042
112356,58693.2961
112357,69837.77097
112358,85663.98994
112359,39693.6411
112360,17194.96931
112361,150099.4179
112362,52064.78829
112363,53543.68861
112364,20711.24189
112365,6318.110937
112366,16112.34366
112367,17587.7466
112368,46576.80838
112369,143990.4808
112370,29069.04775
112371,399030.1682
112372,92796.44437
112373,65421.66594
112374,15037.19734
112375,28804.09907
112376,85828.1307
112377,114644.0071
112378,61654.36729
112379,104833.786
112380,72792.6115
112381,73938.75875
112382,89892.19185
112383,21898.36207
112384,166781.9497
112385,11161.68436
112386,163750.8056
112387,53001.42404
112388,37818.3706
112389,25290.79858
112390,12098.25057
112391,17193.81168
112392,117839.3845
112393,53845.01823
112394,61814.7158
112395,11065.82692
112396,194734.8277
112397,44127.63745
112398,295595.1383
112399,87864.92372
112400,79713.0944
112401,102972.7514
112402,950215.3931
112403,114595.5817
112404,106541.0288
112405,59770.47988
112406,25751.10982
112407,10082.15137
112408,15598.25074
112409,54903.3082
112410,21926.40051
112411,114198.2891
112412,107980.293
112413,29077.43529
112414,63768.27765
112415,121354.9212
112416,69511.67924
112417,103705.9925
112418,64020.13163
112419,206798.8569
112420,48206.53585
112421,218455.2206
112422,95951.05435
112423,52578.80101
112424,8928.959897
112425,39931.68136
112426,95418.36501
112427,272545.1658
112428,142831.2632
112429,9107.764186
112430,19740.3227
112431,144465.1909
112432,36194.85189
112433,76765.90343
112434,40310.03887
112435,83316.07311
112436,45929.02127
112437,92392.21278
112438,100459.8704
112439,13383.14716
112440,260360.432
112441,38459.20627
112442,324623.603
112443,48361.76564
112444,20847.20375
112445,71705.40687
112446,456507.4849
